node_id	title	node_type	region_min	region_max	primary_line	secondary_line	min_military_merit	max_military_merit	min_case_clues	min_clean_reputation	max_clean_reputation	min_martial_level	weight	max_per_run	can_repeat	unique_group	encounter_id	battle_id	visual_path	preview_text	result_text	effects_json	tags	combat_pool_id	recommended_martial_min	recommended_martial_max	enemy_martial_level
map_elite_firearm_01	火器校尉	combat_elite	2	4	military	old_case	2		1	0		2	9	1	false	elite_firearm	enc_ch3_escort_clash	chapter3_escort_clash	res://assets/pixel_battle/backgrounds/battle_bg_transport_road.png	校尉守着封漆木箱，手没有离开火门。	箱封裂开，里面不是倭人的账。	{"military_merit":2,"case_clues":2}	combat|elite|firearm	military_elite	2	6	2
map_elite_dark_arrow_01	暗箭客	combat_elite	3	4	old_case		0		4	0		2	8	1	false	elite_dark_arrow	enc_ch4_tide_bandits	chapter4_tide_bandits	res://assets/narrative/props/prop_black_arrow.png	箭声很轻，和十年前一样轻。	箭客倒下时，箭囊里还有军门漆记。	{"case_clues":2}	combat|elite|arrow	old_case_elite	3	8	3
map_elite_convoy_captain_01	押运都头	combat_elite	2	4	military		3		0	0		2	8	1	false	elite_convoy_captain	enc_ch3_escort_clash	chapter3_escort_clash	res://assets/pixel_battle/portraits/transport_officer.png	都头不问你是谁，只问谁让你查。	押运队退下后，军功和疑点一起入账。	{"military_merit":3,"case_clues":1}	combat|elite|escort	military_elite	2	6	2
map_elite_old_defector_01	旧部叛将	combat_elite	3	4	old_case		0		5	0		3	7	1	false	elite_old_defector	enc_boss_ext_wakou_leader	boss_ext_wakou_leader	res://assets/pixel_battle/backgrounds/battle_bg_broken_ship.png	他认得师父，也认得那支黑箭。	叛将倒下，旧名终于不只在夹层里。	{"case_clues":3}	combat|elite|master	old_case_elite	3	8	3
map_elite_gate_executor_01	海门执令	combat_elite	4	4	military	old_case	6		4	0		3	7	1	false	elite_gate_executor	enc_boss_ext_wakou_leader	boss_ext_wakou_leader	res://assets/pixel_battle/backgrounds/battle_bg_black_tide.png	执令者不问缘由，只问军印在谁手里。	军印落地时，潮声盖住了他的口供。	{"military_merit":2,"case_clues":2}	combat|elite|final	old_case_elite	4	9	3
map_military_patrol_01	巡海点验	military	1	2	military		0	4	0	0		1	11	1	false	military_patrol			res://assets/pixel_battle/backgrounds/narrative_military_order.png	军令先到，点验随后。	你在册上添了一笔，军门也添了一眼。	{"military_merit":2}	military|rank				
map_military_beacon_01	夜查烽燧	military	2	3	military	old_case	1	8	1	0		1	10	1	false	military_beacon			res://assets/pixel_battle/backgrounds/narrative_military_messenger.png	烽燧没有误报，报错的是人。	你拿到一份换岗记录。	{"military_merit":2,"case_clues":1}	military|case				
map_military_convoy_01	护送军械	military	2	4	military	old_case	2		0	0		1	10	1	false	military_convoy			res://assets/narrative/props/prop_firearm_crate.png	军械箱很沉，押送文书很轻。	你护住箱子，也看见箱底旧印。	{"military_merit":2,"case_clues":1}	military|case|firearm				
map_military_report_01	军门复命	military	1	4	military		2	13	0	0		1	9	1	false	military_report			res://assets/narrative/props/prop_altered_military_report.png	复命时，上官只看战果。	你把话说短，军功写长。	{"military_merit":3}	military				
map_military_clean_pirates_01	清剿余寇	military	2	4	military		3		0	0		2	9	1	false	military_clean_pirates			res://assets/pixel_battle/backgrounds/battle_bg_coast_ambush.png	余寇是真的，账也是真的。	你立下实功，军门开始把你当刀。	{"military_merit":3}	military				
map_military_secret_order_01	夜半传令	military	3	4	military	old_case	5		2	0		2	8	1	false	military_secret_order			res://assets/narrative/props/prop_military_order_seal.png	传令来得太晚，印却很新。	你接了令，也接住令背后的旧案味。	{"military_merit":2,"case_clues":1}	military|case				
map_military_signal_boat_01	旗船点验	military	1	4	military		0	8	0	0		1	8	1	false	military_signal_boat			res://assets/pixel_battle/backgrounds/map_march_coast.png	旗船靠岸，旗语比军令更急。	你点清船数，也被军门点进名册。	{"military_merit":2}	military				
map_military_seal_gate_01	封海军令	military	4	4	military		7		0	0		3	7	1	false	military_seal_gate			res://assets/narrative/props/prop_military_order_seal.png	封海令压到案头，墨还没有干。	你接住军令，也接住最后一段路。	{"military_merit":3}	military|final				
map_military_squad_rollcall_01	小旗点名	military	1	2	military		2	4	0	0		1	10	1	false	military_squad_rollcall			res://assets/pixel_battle/backgrounds/narrative_military_order.png	你第一次站在几名军士前。	名字点完，令也落到你肩上。	{"military_merit":2}	military|rank|xiaoqi				
map_military_lead_patrol_01	总旗带巡	military	2	3	military	old_case	5	8	1	0		1	10	1	false	military_lead_patrol			res://assets/narrative/props/prop_coastal_patrol_map.png	海堤很长，跟着你的人开始等你发话。	巡路尽头多出一条不在图上的军道。	{"military_merit":2,"case_clues":1}	military|rank|zongqi				
map_military_prisoner_review_01	百户审俘	military	2	4	military	old_case	9	13	2	0		2	9	1	false	military_prisoner_review			res://assets/narrative/silhouettes/sil_kneeling_mutiny_soldier.png	俘卒跪在堂下，只敢看你的靴尖。	他供出一处仓名，军功和旧案同时变重。	{"military_merit":2,"case_clues":2}	military|rank|baihu|case				
map_military_warehouse_seal_01	副千户封仓	military	3	4	military	old_case	14	19	3	0		2	8	1	false	military_warehouse_seal			res://assets/narrative/props/prop_military_lacquer_mark.png	你带人贴封，仓里却先有人点灯。	封条压住门，也压出门后的旧名。	{"military_merit":3,"case_clues":1}	military|rank|deputy_qianhu				
map_military_qianhu_hearing_01	千户堂问	military	4	4	military	old_case	20		5	0		3	8	1	false	military_qianhu_hearing			res://assets/pixel_battle/backgrounds/narrative_military_coverup.png	堂上终于有人等你开口。	你问得越稳，堂下越安静。	{"military_merit":2,"case_clues":2}	military|rank|qianhu|final				
map_military_transfer_fleet_01	调船封口	military	3	4	military	reputation	9		0	3		2	8	1	false	military_transfer_fleet			res://assets/pixel_battle/backgrounds/map_march_coast.png	你能调船，也有人想借船把话运走。	船没离港，岸上的人先松了一口气。	{"military_merit":2,"clean_reputation":1}	military|rank|fleet				
map_case_half_page_01	半页残卷	case	1	2	old_case		0		0	0		1	11	1	false	case_half_page			res://assets/narrative/props/prop_casefile_missing_page.png	案卷缺口整齐，像被刀修过。	半页纸很轻，压在袖中却沉。	{"case_clues":2}	case|c1				
map_case_arrow_mark_01	岸上箭痕	case	2	4	old_case		0		1	0		1	11	1	false	case_arrow			res://assets/narrative/props/prop_black_arrow.png	木桩上有旧箭痕，不朝海。	师父用指腹摸过箭痕，没有说话。	{"case_clues":2}	case|arrow				
map_case_roster_01	军籍夹层	case	3	4	old_case		0		3	0		1	10	1	false	case_roster			res://assets/narrative/props/prop_half_roster_wet.png	名册里夹着另一张名册。	你看见师父旧名，也看见旁边的红点。	{"case_clues":3}	case|master				
map_case_firearm_mark_01	火器旧印	case	1	3	old_case		0		1	0		1	10	1	false	case_firearm_mark			res://assets/pixel_battle/relics/relic_ming_firearm.png	火门磨得很亮，铸印还在。	这不是海寇能随手拿到的东西。	{"case_clues":2}	case|firearm				
map_case_old_anchor_01	旧锚铁链	case	2	4	old_case		0		2	0		1	9	1	false	case_old_anchor			res://assets/narrative/props/prop_beach_body_search.png	锚链锈得很深，断口却新。	海水没磨掉的，是有人急着藏的。	{"case_clues":2}	case|tide				
map_case_sealed_crate_01	封漆木箱	case	2	4	old_case	military	1		2	0		1	9	1	false	case_sealed_crate			res://assets/narrative/props/prop_empty_wooden_case.png	木箱空着，封漆却没裂。	空箱比满箱更像旧案。	{"case_clues":2,"military_merit":1}	case|crate				
map_case_wet_receipt_01	湿盐票	case	2	4	old_case	reputation	0		2	1		1	8	1	false	case_wet_receipt			res://assets/narrative/props/prop_unsealed_letter.png	盐票被海水泡软，朱印还硬。	票上的旧名把海路牵回岸上。	{"case_clues":2,"clean_reputation":1}	case|people				
map_case_tide_account_01	潮账末页	case	4	4	old_case		0		6	0		2	8	1	false	case_tide_account			res://assets/narrative/props/prop_casefile_missing_page.png	末页没有署名，只有潮湿的指痕。	旧案终于连成一条能追的路。	{"case_clues":3}	case|final				
map_case_fragment_burnt_rope_01	焦绳残结	case	1	2	old_case		0	4	0	0	4	1	10	1	false	case_fragment_burnt_rope			res://assets/narrative/props/prop_firearm_seal_mark.png	烧断的绳结里，还夹着一点官蜡。	你只摸到一截残痕，够记住，不够开口。	{"case_clues":1}	case|source_fragment|low				
map_case_fragment_bootprint_01	官靴泥印	case	1	3	old_case		0	8	1	0	8	1	10	1	false	case_fragment_bootprint			res://assets/narrative/props/prop_official_mud_bootprint.png	泥印踩过火药灰，纹路不像海寇草鞋。	岸上的脚，比海上的船更难解释。	{"case_clues":2}	case|source_fragment|low				
map_case_military_outer_ledger_01	外库半账	case	2	4	old_case	military	5	13	2	0		1	9	1	false	case_military_outer_ledger			res://assets/narrative/props/prop_wet_payroll_ledger.png	你能进外库，却还碰不到内册。	半本账把火器箱号和押运日子拴在一起。	{"case_clues":2,"military_merit":1}	case|source_military|rank				
map_case_military_sealed_index_01	封卷目录	case	3	4	old_case	military	14		4	0		2	8	1	false	case_military_sealed_index			res://assets/narrative/props/prop_altered_military_report.png	目录还在，正卷却被调走。	卷名没有说真相，却说出了谁有权拿走真相。	{"case_clues":3,"military_merit":1}	case|source_military|rank|high				
map_case_reputation_boatman_word_01	船夫旧话	case	2	4	old_case	reputation	0		2	5		1	9	1	false	case_reputation_boatman_word			res://assets/pixel_battle/backgrounds/narrative_night_knife_camp.png	船夫说那夜海上无风，岸上却有号令。	他愿意说，是因为你先救过别人。	{"case_clues":2,"clean_reputation":1}	case|source_reputation|status				
map_case_reputation_salt_name_01	盐户旧名	case	3	4	old_case	reputation	0		4	9		1	8	1	false	case_reputation_salt_name			res://assets/narrative/props/prop_unsealed_letter.png	盐户把旧名藏在契尾，藏了很多年。	清望到了，纸上的沉默才肯松开。	{"case_clues":3,"clean_reputation":1}	case|source_reputation|status|high				
map_case_military_false_confession_01	堂下假供	case	3	4	old_case	military	9		3	0	4	2	8	1	false	case_military_false_confession			res://assets/narrative/silhouettes/sil_kneeling_mutiny_soldier.png	俘卒供得太快，像有人替他背熟。	你拿到一条线，却也听见线另一头有人在收紧。	{"case_clues":1,"military_merit":1}	case|source_military_blocked|rank|low_reputation				
map_case_reputation_no_warrant_01	无令不得入	case	3	4	old_case	reputation	0	4	4	9		1	8	1	false	case_reputation_no_warrant			res://assets/pixel_battle/backgrounds/narrative_military_coverup.png	堂外有人替你指路，堂门却要军令才开。	你知道该查哪里，只是还没有资格走进去。	{"case_clues":1,"clean_reputation":1}	case|source_reputation_blocked|status|low_military				
map_reputation_orphan_01	盐灶遗孤	reputation	1	3	reputation	old_case	0		0	0	8	1	10	1	false	reputation_orphan			res://assets/narrative/props/prop_mother_shoe_by_fire.png	盐灶旁有人藏着孩子。	孩子没有谢你，只把一枚旧扣塞进你手里。	{"clean_reputation":2,"case_clues":1}	reputation|people				
map_reputation_temple_01	破庙避雨	reputation	2	4	reputation		0		1	2	12	1	9	1	false	reputation_temple			res://assets/pixel_battle/backgrounds/moon_courtyard.png	破庙漏雨，有人先让出半席。	那人不问你来历，只问你刀从哪学。	{"clean_reputation":2}	reputation				
map_reputation_ferry_01	夜渡无名	reputation	3	4	reputation	old_case	0		2	3		1	9	1	false	reputation_ferry			res://assets/pixel_battle/backgrounds/narrative_night_knife_camp.png	没人问你要渡钱。	船夫说，有些账不在官册上。	{"clean_reputation":2,"case_clues":1}	reputation|case				
map_reputation_old_blade_01	旧刀不卖	reputation	2	4	reputation		0		0	2	12	1	9	1	false	reputation_old_blade			res://assets/narrative/props/prop_old_master_saber.png	老人说刀不卖。后来他把刀放到你桌上。	有些人不信军门，但愿意信你。	{"clean_reputation":3}	reputation				
map_reputation_herbal_shop_01	药铺半夜开门	reputation	1	4	reputation		0		0	1	8	1	8	1	false	reputation_herbal_shop			res://assets/narrative/props/prop_burnt_bowl.png	药铺灯在半夜亮着。	掌柜没有问价，只问伤在哪。	{"clean_reputation":2}	reputation|rest				
map_reputation_hidden_book_01	义民藏书	reputation	3	4	reputation	old_case	0		4	4		1	8	1	false	reputation_hidden_book			res://assets/narrative/props/prop_unsealed_letter.png	书页里夹着盐票和旧名。	清望高了，沉默的人才敢开口。	{"clean_reputation":2,"case_clues":2}	reputation|case				
map_reputation_fisher_oath_01	渔户结保	reputation	1	4	reputation		0		0	0	8	1	8	1	false	reputation_fisher_oath			res://assets/narrative/props/prop_beach_body_search.png	渔户不懂官话，只把名字按在纸上。	他们愿意替你作保，清望就有了重量。	{"clean_reputation":2}	reputation|people				
map_reputation_gate_crowd_01	海门人声	reputation	4	4	reputation	old_case	0		4	5		1	7	1	false	reputation_gate_crowd			res://assets/pixel_battle/backgrounds/map_march_coast.png	海门外站了很多人，没有人先说话。	第一个人开口后，沉默就不再属于军门。	{"clean_reputation":3,"case_clues":1}	reputation|final				
map_reputation_family_shelter_01	灶户避祸	reputation	1	2	reputation		0		0	0	4	1	10	1	false	reputation_family_shelter			res://assets/narrative/silhouettes/sil_father_hiding_child.png	灶户把门开了一条缝。	你没问他们藏了谁，只替他们挡住门外的脚步。	{"clean_reputation":2}	reputation|status|low				
map_reputation_village_mediator_01	乡约说和	reputation	1	3	reputation	old_case	0		1	2	8	1	10	1	false	reputation_village_mediator			res://assets/narrative/props/prop_unsealed_letter.png	乡约把话说得很慢，怕一句错害一村人。	他愿意把旧名写下，你也把人情记下。	{"clean_reputation":2,"case_clues":1}	reputation|status|trusted				
map_reputation_rain_teacher_01	雨夜问手	reputation	2	4	reputation		0		0	5	12	1	9	1	false	reputation_rain_teacher			res://assets/narrative/silhouettes/sil_rain_messenger_shadow.png	雨夜有人递来伞，却先看你的步法。	他没有留名，只留一句：出刀前，先看人心。	{"clean_reputation":2}	reputation|status|rising				
map_reputation_secret_ferry_01	暗渡旧部	reputation	3	4	reputation	old_case	0		3	5		1	9	1	false	reputation_secret_ferry			res://assets/pixel_battle/backgrounds/narrative_night_knife_camp.png	船不点灯，桨声也压得很低。	旧部上岸后，只说一个仓号。	{"clean_reputation":2,"case_clues":2}	reputation|status|rising|case				
map_reputation_oath_crowd_01	义声成盟	reputation	3	4	reputation		0		0	9		1	8	1	false	reputation_oath_crowd			res://assets/pixel_battle/backgrounds/moon_courtyard.png	院里站满了人，却没人抢着说话。	他们把名字交给你，清望从此不是传闻。	{"clean_reputation":3}	reputation|status|known				
map_reputation_public_testimony_01	堂外作证	reputation	4	4	reputation	old_case	0		5	13		1	8	1	false	reputation_public_testimony			res://assets/pixel_battle/backgrounds/narrative_military_coverup.png	堂门未开，堂外已经跪满了人。	军门可以压低声音，却压不住这么多人。	{"clean_reputation":3,"case_clues":2}	reputation|status|high|final				
map_rest_campfire_01	海边营火	rest	1	4	rest		0		0	0		1	7	1	false	rest_campfire			res://assets/pixel_battle/backgrounds/map_march_coast.png	潮风小了，火能站住。	伤口暂时收住。	{}	rest				
map_rest_copy_docs_01	文书重抄	rest	3	4	old_case	rest	0		2	0		1	7	1	false	rest_docs			res://assets/narrative/props/prop_altered_military_report.png	灯下重抄，错一字就会死人。	旧案脉络变得更稳。	{"case_clues":1}	rest|case				
map_rest_master_grinds_01	师父磨刀	rest	1	4	rest	old_case	0		1	0		1	7	1	false	rest_master_grinds			res://assets/narrative/silhouettes/sil_grinding_saber_shadow.png	师父磨刀很慢，像在磨掉旧话。	你没有追问，但记住了他的停顿。	{"case_clues":1}	rest|master				
map_rest_old_inn_01	旧驿歇脚	rest	2	4	rest		0		0	0		1	7	1	false	rest_old_inn			res://assets/pixel_battle/backgrounds/battle_bg_transport_road.png	旧驿没人睡熟。	你借来一夜安静。	{}	rest				
map_rest_before_gate_01	海门歇旗	rest	4	4	rest		0		0	0		1	6	1	false	rest_before_gate			res://assets/pixel_battle/backgrounds/battle_bg_broken_ship.png	旗子歇在风里，人没有。	你把呼吸放慢，等最后一道潮。	{}	rest|final				
