reward_plan_id	battle_slot_id	deck_id	deck_skeleton_id	archetype_id	scope	route_type	battle_type	tier	expected_player_realm	expected_lightness_level	reward_profile	martial_xp_reward	weapon_xp_reward	military_merit_reward	clean_reputation_reward	old_case_progress_reward	lightness_reward_type	lightness_cap_unlock	card_reward_pool	resource_reward_type	resource_reward_amount	risk_level	can_trigger_realm_10	can_trigger_lightness_breakthrough	can_trigger_wuzhuangyuan_route	ending_route	source_route_checkpoint	source_deck_id	notes
rw_big_map_normal_enemy_coastal_raider_spear_aggressive	big_map_normal_pool	enemy_coastal_raider_spear_aggressive	enemy_coastal_raider_spear_aggressive	coastal_raider_spear	big_map_normal	common	normal	basic	4-8	1-2	normal_high	5	3	1	0	0	practice	cap_2	weapon_common	silver	30	medium	false	false	false	none	normal_after_big_map	enemy_coastal_raider_spear_aggressive	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_coastal_raider_spear_basic	big_map_normal_pool	enemy_coastal_raider_spear_basic	enemy_coastal_raider_spear_basic	coastal_raider_spear	big_map_normal	common	normal	basic	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_coastal_raider_spear_basic	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_corrupt_patrolman_advanced	big_map_normal_pool	enemy_corrupt_patrolman_advanced	enemy_corrupt_patrolman_advanced	corrupt_patrolman	big_map_normal	common	normal	basic	4-8	1-2	normal_high	5	3	1	0	1	practice	cap_2	weapon_common	silver	30	medium	false	false	false	none	normal_after_big_map	enemy_corrupt_patrolman_advanced	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_corrupt_patrolman_basic	big_map_normal_pool	enemy_corrupt_patrolman_basic	enemy_corrupt_patrolman_basic	corrupt_patrolman	big_map_normal	common	normal	basic	4-8	1-2	normal_standard	5	2	1	0	1	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_corrupt_patrolman_basic	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_firearm_runner_advanced	big_map_normal_pool	enemy_firearm_runner_advanced	enemy_firearm_runner_advanced	firearm_runner	big_map_normal	common	normal	advanced	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_firearm_runner_advanced	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_firearm_runner_aggressive	big_map_normal_pool	enemy_firearm_runner_aggressive	enemy_firearm_runner_aggressive	firearm_runner	big_map_normal	common	normal	advanced	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_firearm_runner_aggressive	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_firearm_runner_basic	big_map_normal_pool	enemy_firearm_runner_basic	enemy_firearm_runner_basic	firearm_runner	big_map_normal	common	normal	advanced	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_firearm_runner_basic	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_hungry_garrison_advanced	big_map_normal_pool	enemy_hungry_garrison_advanced	enemy_hungry_garrison_advanced	hungry_garrison	big_map_normal	common	normal	basic	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_hungry_garrison_advanced	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_hungry_garrison_basic	big_map_normal_pool	enemy_hungry_garrison_basic	enemy_hungry_garrison_basic	hungry_garrison	big_map_normal	common	normal	basic	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_hungry_garrison_basic	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_militia_spearman_advanced	big_map_normal_pool	enemy_militia_spearman_advanced	enemy_militia_spearman_advanced	militia_spearman	big_map_normal	common	normal	basic	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_militia_spearman_advanced	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_militia_spearman_aggressive	big_map_normal_pool	enemy_militia_spearman_aggressive	enemy_militia_spearman_aggressive	militia_spearman	big_map_normal	common	normal	basic	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_militia_spearman_aggressive	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_militia_spearman_basic	big_map_normal_pool	enemy_militia_spearman_basic	enemy_militia_spearman_basic	militia_spearman	big_map_normal	common	normal	basic	4-8	1-2	normal_low	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_militia_spearman_basic	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_scout_footwork_advanced	big_map_normal_pool	enemy_scout_footwork_advanced	enemy_scout_footwork_advanced	scout_footwork	big_map_normal	common	normal	advanced	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_scout_footwork_advanced	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_scout_footwork_aggressive	big_map_normal_pool	enemy_scout_footwork_aggressive	enemy_scout_footwork_aggressive	scout_footwork	big_map_normal	common	normal	advanced	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_scout_footwork_aggressive	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_scout_footwork_basic	big_map_normal_pool	enemy_scout_footwork_basic	enemy_scout_footwork_basic	scout_footwork	big_map_normal	common	normal	advanced	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_scout_footwork_basic	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_shield_blademan_advanced	big_map_normal_pool	enemy_shield_blademan_advanced	enemy_shield_blademan_advanced	shield_blademan	big_map_normal	common	normal	basic	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_shield_blademan_advanced	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_shield_blademan_aggressive	big_map_normal_pool	enemy_shield_blademan_aggressive	enemy_shield_blademan_aggressive	shield_blademan	big_map_normal	common	normal	basic	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_shield_blademan_aggressive	普通池奖励，主用于 8-9 境成长。
rw_big_map_normal_enemy_shield_blademan_basic	big_map_normal_pool	enemy_shield_blademan_basic	enemy_shield_blademan_basic	shield_blademan	big_map_normal	common	normal	basic	4-8	1-2	normal_standard	5	2	1	0	0	practice	none	generic_common	silver	20	low	false	false	false	none	normal_after_big_map	enemy_shield_blademan_basic	普通池奖励，主用于 8-9 境成长。
rw_big_map_elite_enemy_elite_blade_counter_elite_advanced	big_map_elite_pool	enemy_elite_blade_counter_elite_advanced	enemy_elite_blade_counter_elite_advanced	elite_blade_counter	big_map_elite	common	elite	elite	7-10	1-2	elite_standard	12	4	2	0	0	practice	cap_2	weapon_or_generic_uncommon	supply	1	high	false	false	false	none	elite_after_big_map	enemy_elite_blade_counter_elite_advanced	精英池奖励，用于路线分流与武境 10 触发。
rw_big_map_elite_enemy_elite_blade_counter_elite_basic	big_map_elite_pool	enemy_elite_blade_counter_elite_basic	enemy_elite_blade_counter_elite_basic	elite_blade_counter	big_map_elite	common	elite	elite	7-10	1-2	elite_standard	12	4	2	0	0	practice	cap_2	weapon_or_generic_uncommon	supply	1	high	false	false	false	none	elite_after_big_map	enemy_elite_blade_counter_elite_basic	精英池奖励，用于路线分流与武境 10 触发。
rw_big_map_elite_enemy_elite_dual_blade_raider_elite_advanced	big_map_elite_pool	enemy_elite_dual_blade_raider_elite_advanced	enemy_elite_dual_blade_raider_elite_advanced	elite_dual_blade_raider	big_map_elite	common	elite	elite	7-10	1-2	elite_standard	12	4	2	0	0	practice	cap_2	weapon_or_generic_uncommon	supply	1	high	false	false	false	none	elite_after_big_map	enemy_elite_dual_blade_raider_elite_advanced	精英池奖励，用于路线分流与武境 10 触发。
rw_big_map_elite_enemy_elite_dual_blade_raider_elite_basic	big_map_elite_pool	enemy_elite_dual_blade_raider_elite_basic	enemy_elite_dual_blade_raider_elite_basic	elite_dual_blade_raider	big_map_elite	common	elite	elite	7-10	1-2	elite_standard	12	4	2	0	0	practice	cap_2	weapon_or_generic_uncommon	supply	1	high	false	false	false	none	elite_after_big_map	enemy_elite_dual_blade_raider_elite_basic	精英池奖励，用于路线分流与武境 10 触发。
rw_big_map_elite_enemy_elite_firearm_guard_elite_basic	big_map_elite_pool	enemy_elite_firearm_guard_elite_basic	enemy_elite_firearm_guard_elite_basic	elite_firearm_guard	big_map_elite	common	elite	elite	7-10	1-2	elite_standard	12	4	2	0	0	practice	cap_2	weapon_or_generic_uncommon	supply	1	high	false	false	false	none	elite_after_big_map	enemy_elite_firearm_guard_elite_basic	精英池奖励，用于路线分流与武境 10 触发。
rw_big_map_elite_enemy_elite_military_officer_elite_basic	big_map_elite_pool	enemy_elite_military_officer_elite_basic	enemy_elite_military_officer_elite_basic	elite_military_officer	big_map_elite	common	elite	elite	7-10	1-2	elite_high	12	5	3	0	2	practice	cap_2	elite_rare	upgrade_card	1	high	true	false	true	none	elite_after_big_map	enemy_elite_military_officer_elite_basic	精英池奖励，用于路线分流与武境 10 触发。
rw_big_map_elite_enemy_elite_spear_instructor_elite_advanced	big_map_elite_pool	enemy_elite_spear_instructor_elite_advanced	enemy_elite_spear_instructor_elite_advanced	elite_spear_instructor	big_map_elite	common	elite	elite	7-10	1-2	elite_high	12	5	3	0	0	practice	cap_2	elite_rare	upgrade_card	1	high	true	false	true	none	elite_after_big_map	enemy_elite_spear_instructor_elite_advanced	精英池奖励，用于路线分流与武境 10 触发。
rw_big_map_elite_enemy_elite_spear_instructor_elite_basic	big_map_elite_pool	enemy_elite_spear_instructor_elite_basic	enemy_elite_spear_instructor_elite_basic	elite_spear_instructor	big_map_elite	common	elite	elite	7-10	1-2	elite_high	12	5	3	0	0	practice	cap_2	elite_rare	upgrade_card	1	high	true	false	true	none	elite_after_big_map	enemy_elite_spear_instructor_elite_basic	精英池奖励，用于路线分流与武境 10 触发。
rw_boss_boss_normal_boss_old_case_officer_phase_1	normal_boss_01	boss_normal_boss_old_case_officer_phase_1	boss_normal_boss_old_case_officer_phase_1	normal_boss_old_case_officer	boss_normal	normal	boss	boss	8-9	1-2	boss_normal	12	4	3	0	1	practice	cap_2	boss_signature	clue	1	boss	false	false	false	normal	normal_after_boss	boss_normal_boss_old_case_officer_phase_1	普通结局 Boss 奖励，保证 8-9 境可通。
rw_boss_boss_true_boss_gatekeeper_phase_1	true_boss_01	boss_true_boss_gatekeeper_phase_1	boss_true_boss_gatekeeper_phase_1	true_boss_gatekeeper	boss_true	true_route	boss	boss	9-10	2-3	boss_true_gate	12	4	4	1	2	level_up	cap_3	boss_signature	clue	1	boss	true	true	false	true_route	true_after_boss_1	boss_true_boss_gatekeeper_phase_1	真路线守门 Boss 奖励，稳定进入 10 境段。
rw_boss_boss_true_boss_hidden_commander_phase_1	true_boss_02	boss_true_boss_hidden_commander_phase_1	boss_true_boss_hidden_commander_phase_1	true_boss_hidden_commander	boss_true	true_route	true_boss	boss	10	2-3	true_boss	16	5	5	1	3	practice	cap_3	boss_signature	remove_card	1	boss	true	true	false	true_route	true_after_true_boss	boss_true_boss_hidden_commander_phase_1	真 Boss 战阶段一奖励规划。
rw_boss_boss_true_boss_hidden_commander_phase_2	true_boss_02	boss_true_boss_hidden_commander_phase_2	boss_true_boss_hidden_commander_phase_2	true_boss_hidden_commander	boss_true	true_route	true_boss	boss	10	2-3	true_boss	16	5	5	2	3	practice	cap_3	boss_signature	title	1	boss	true	true	false	true_route	true_after_true_boss	boss_true_boss_hidden_commander_phase_2	真 Boss 战阶段二奖励规划。
rw_exam_exam_exam_capital_basic_weapon	wz_exam_01	exam_exam_capital_basic_weapon	exam_exam_capital_basic_weapon	exam_capital_basic_weapon	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	10	2-4	wuzhuangyuan_exam	8	3	2	1	0	practice	cap_2	exam_official_reward	supply	1	exam	false	false	false	none	wuzhuangyuan_before_exam	exam_exam_capital_basic_weapon	武状元考试奖励规划；不抢真结局旧案主题。
rw_exam_exam_exam_capital_duel_chain	wz_exam_02	exam_exam_capital_duel_chain	exam_exam_capital_duel_chain	exam_capital_duel_chain	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	10	2-4	wuzhuangyuan_exam	8	3	2	1	0	practice	cap_2	exam_official_reward	heal	1	exam	false	false	false	none	wuzhuangyuan_before_exam	exam_exam_capital_duel_chain	武状元考试奖励规划；不抢真结局旧案主题。
rw_exam_exam_exam_capital_footwork	wz_exam_03	exam_exam_capital_footwork	exam_exam_capital_footwork	exam_capital_footwork	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	10	2-4	wuzhuangyuan_exam	9	4	3	1	0	level_up	cap_3	exam_official_reward	upgrade_card	1	exam	false	true	false	none	wuzhuangyuan_before_exam	exam_exam_capital_footwork	武状元考试奖励规划；不抢真结局旧案主题。
rw_exam_exam_exam_capital_mixed_weapon	wz_exam_04	exam_exam_capital_mixed_weapon	exam_exam_capital_mixed_weapon	exam_capital_mixed_weapon	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	10	2-4	wuzhuangyuan_exam	10	4	3	1	0	practice	cap_3	exam_official_reward	remove_card	1	exam	false	false	false	none	wuzhuangyuan_before_exam	exam_exam_capital_mixed_weapon	武状元考试奖励规划；不抢真结局旧案主题。
rw_exam_exam_exam_imperial_final_examiner	wz_exam_05	exam_exam_imperial_final_examiner	exam_exam_imperial_final_examiner	exam_imperial_final_examiner	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	10	2-4	wuzhuangyuan_final	12	5	4	1	0	rare_breakthrough	cap_4	final_upgrade	title	1	exam	false	true	false	wuzhuangyuan	wuzhuangyuan_after_exam	exam_exam_imperial_final_examiner	武状元考试奖励规划；不抢真结局旧案主题。
