card_id	display_name	card_class	weapon_style	weapon_requirement	is_generic	rarity	tactic_role	deck_role	min_distance	max_distance	preferred_distance	momentum_cost	gain_momentum	break_momentum	damage	guard	self_move_after	target_push_after	target_pull_after	move_condition	tags	combo_tags	ai_usage_hint	power_budget	budget_target	budget_delta	implementation_status	source_grammar	notes
generic_link_cut	衔接斩	combo	generic	none	true	uncommon	combo_bridge	combo	1	2	1	1	0	1	2	0	0	0	0	on_hit	weapon_generic,role_combo_bridge,deck_combo,ai_link	combo_bridge	bridge_between_opener_and_finisher	4	4	0	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
generic_signature_setup	整势起手	special	generic	none	true	special	recovery	special	1	3	2	1	2	0	0	2	0	0	0	none	weapon_generic,role_recovery,deck_special,ai_setup		special_setup_without_weapon_identity_overlap	6	4	2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
spear_line_thrust	中平长刺	attack	spearman	spearman	false	common	poke	attack	2	3	2	1	1	1	2	0	0	0	0	on_hit	weapon_spearman,role_control,deck_attack,ai_hold_distance	combo_opener	hold_distance_then_thrust	6	4	2	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
spear_long_poke	长杆点刺	attack	spearman	spearman	false	common	poke	attack	2	3	3	1	1	0	2	0	0	0	0	on_hit	weapon_spearman,role_poke,deck_attack,ai_chip		safe_midrange_poke	4	4	0	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
spear_pressure_jab	连刺压步	attack	spearman	spearman	false	uncommon	pressure	attack	2	3	2	2	0	1	3	0	0	0	0	on_hit	weapon_spearman,role_pressure,deck_attack,ai_press	combo_bridge	pressure_without_full_burst	5	8	-3	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-3 due to role identity.
spear_push_cut	推杆截势	posture_break	spearman	spearman	false	common	break	posture_break	2	3	2	1	0	2	1	0	0	1	0	on_hit	weapon_spearman,role_break,deck_posture_break,ai_deny_approach		push_and_break_posture	5	4	1	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
spear_deny_entry	封门拒进	guard	spearman	spearman	false	uncommon	counter	guard	2	3	2	1	0	1	1	3	0	1	0	on_hit	weapon_spearman,role_counter,deck_guard,ai_deny_approach		guard_line_and_push_target	6	4	2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
spear_hold_distance	守距横栏	movement	spearman	spearman	false	common	control	movement	2	3	2	1	1	0	0	2	-1	1	0	always	weapon_spearman,role_control,deck_movement,ai_hold_distance		maintain_ideal_range	4	4	0	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
spear_retreat_half_step	半步后撤	movement	spearman	spearman	false	common	retreat	movement	2	3	2	0	1	0	0	1	-1	0	0	always	weapon_spearman,role_retreat,deck_movement,ai_reset		retreat_after_midrange_exchange	3	0	3	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=3 due to role identity.
spear_advance_shaft	探杆进步	movement	spearman	spearman	false	common	approach	movement	1	3	2	1	1	0	1	1	1	0	0	on_hit	weapon_spearman,role_approach,deck_movement,ai_setup	combo_bridge	approach_to_restore_line	4	4	0	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
spear_posture_grind	磨势连点	posture_break	spearman	spearman	false	uncommon	break	posture_break	2	3	2	2	0	2	1	0	0	0	0	on_hit	weapon_spearman,role_break,deck_posture_break,ai_grind		consistent_break_pressure	5	8	-3	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-3 due to role identity.
spear_tempo_reset	拨杆调息	tempo	spearman	spearman	false	common	recovery	tempo	2	3	2	0	2	0	0	1	-1	0	0	always	weapon_spearman,role_recovery,deck_tempo,ai_reset		reset_tempo_with_distance_control	5	0	5	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=5 due to role identity.
spear_chain_bridge	贯线承接	combo	spearman	spearman	false	uncommon	combo_bridge	combo	2	3	2	1	1	1	1	0	0	0	0	on_hit	weapon_spearman,role_combo_bridge,deck_combo,ai_link	combo_bridge	low_to_mid_combo_link	5	4	1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
spear_pin_finish	封线终刺	combo	spearman	spearman	false	rare	finisher	combo	2	3	2	3	0	2	4	0	0	1	0	on_hit	weapon_spearman,role_finisher,deck_combo,ai_burst	combo_finisher	finisher_with_readable_push	8	12	-4	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-4 due to role identity.
spear_guard_breaker	抬杆破架	posture_break	spearman	spearman	false	rare	punish	posture_break	2	3	2	3	0	3	2	0	0	1	0	on_hit	weapon_spearman,role_punish,deck_posture_break,ai_break_open		anti_turtle_break_tool	8	12	-4	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-4 due to role identity.
spear_control_special	控线总诀	special	spearman	spearman	false	special	control	special	2	3	2	2	1	2	1	2	-1	1	0	always	weapon_spearman,role_control,deck_special,ai_hold_distance		signature_control_without_high_combo_bias	9	8	1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
blade_close_slash	贴身斩	attack	blademaster	blademaster	false	common	approach	attack	1	2	1	1	1	0	3	0	0	0	0	on_hit	weapon_blademaster,role_approach,deck_attack,ai_close_in	combo_opener	close_range_opening_slash	5	4	1	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
blade_follow_step	追步连斩	attack	blademaster	blademaster	false	uncommon	pressure	attack	1	2	1	2	0	1	4	0	1	0	0	on_hit	weapon_blademaster,role_pressure,deck_attack,ai_stick	combo_bridge	approach_and_keep_pressure	6	8	-2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
blade_counter_cut	守反切	guard	blademaster	blademaster	false	uncommon	counter	guard	1	2	1	2	0	1	2	3	0	0	0	on_hit	weapon_blademaster,role_counter,deck_guard,ai_counter		guard_then_counter_cut	7	8	-1	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
blade_inside_guard	内门护手	guard	blademaster	blademaster	false	common	guard	guard	1	2	1	1	1	0	0	3	0	0	0	none	weapon_blademaster,role_guard,deck_guard,ai_stabilize		close_guard_for_blade_style	5	4	1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
blade_quick_entry	快步进身	movement	blademaster	blademaster	false	common	approach	movement	1	2	1	1	1	0	1	1	1	0	0	always	weapon_blademaster,role_approach,deck_movement,ai_setup		primary_close_gap_tool	4	4	0	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
blade_shoulder_shift	肩转换位	movement	blademaster	blademaster	false	common	retreat	movement	1	2	1	1	1	0	0	1	-1	0	0	always	weapon_blademaster,role_retreat,deck_movement,ai_reset		short_reset_without_full_disengage	3	4	-1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
blade_opening_break	开门断势	posture_break	blademaster	blademaster	false	uncommon	break	posture_break	1	2	1	2	0	2	2	0	0	0	0	on_hit	weapon_blademaster,role_break,deck_posture_break,ai_break_open		break_then_continue_close_pressure	6	8	-2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
blade_punish_riposte	乘隙回斩	posture_break	blademaster	blademaster	false	rare	punish	posture_break	1	2	1	3	0	2	3	0	0	0	0	on_hit	weapon_blademaster,role_punish,deck_posture_break,ai_punish		punish_tool_for_missed_defense	7	12	-5	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-5 due to role identity.
blade_tempo_feint	虚引换拍	tempo	blademaster	blademaster	false	uncommon	combo_bridge	tempo	1	2	1	1	2	0	1	0	1	0	0	always	weapon_blademaster,role_tempo,deck_tempo,ai_setup	combo_bridge	tempo_shift_into_combo	5	4	1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
blade_focus_recover	定息	tempo	blademaster	blademaster	false	common	recovery	tempo	1	2	1	0	2	0	0	1	0	0	0	none	weapon_blademaster,role_recovery,deck_tempo,ai_reset		recover_for_second_engage	5	0	5	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=5 due to role identity.
blade_link_spin	旋身承接	combo	blademaster	blademaster	false	uncommon	combo_bridge	combo	1	2	1	2	1	1	2	0	1	0	0	on_hit	weapon_blademaster,role_combo_bridge,deck_combo,ai_link	combo_bridge	bridge_for_close_combo	6	8	-2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
blade_dual_cut_chain	双切连势	combo	blademaster	blademaster	false	rare	burst	combo	1	2	1	3	0	1	5	0	0	0	0	on_hit	weapon_blademaster,role_burst,deck_combo,ai_burst	combo_finisher	high_damage_but_restricted_by_cost	7	12	-5	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-5 due to role identity.
blade_finish_cross	十字断	combo	blademaster	blademaster	false	rare	finisher	combo	1	2	1	3	0	2	4	0	0	0	0	on_hit	weapon_blademaster,role_finisher,deck_combo,ai_finish	combo_finisher	finisher_requires_proper_setup	8	12	-4	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-4 due to role identity.
blade_signature_special	刀势总压	special	blademaster	blademaster	false	special	pressure	special	1	2	1	2	1	2	3	1	1	0	0	on_hit	weapon_blademaster,role_pressure,deck_special,ai_press		signature_blade_pressure_tool	10	8	2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
enemy_firearm_aim	举铳瞄线	tempo	firearm	firearm	false	common	firearm_pressure	tempo	3	4	3	1	2	0	0	1	0	0	0	none	weapon_firearm,role_firearm_pressure,deck_tempo,ai_setup		setup_before_shot_for_counterplay	5	4	1	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
enemy_firearm_shot	火绳齐发	attack	firearm	firearm	false	uncommon	pressure	attack	3	4	3	2	0	1	4	0	0	0	0	on_hit	weapon_firearm,role_firearm_pressure,deck_attack,ai_firearm		ranged_pressure_not_max_burst	6	8	-2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
enemy_firearm_close_check	压前点射	attack	firearm	firearm	false	common	punish	attack	2	3	3	1	0	1	2	1	0	1	0	on_hit	weapon_firearm,role_punish,deck_attack,ai_counterplay		checks_direct_approach_with_push	5	4	1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
enemy_firearm_reposition	换位装药	movement	firearm	firearm	false	common	retreat	movement	2	4	3	1	1	0	0	1	-1	0	0	always	weapon_firearm,role_retreat,deck_movement,ai_counterplay		reposition_instead_of_perma_lock	3	4	-1	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
enemy_firearm_guard_cover	掩体稳架	guard	firearm	firearm	false	common	guard	guard	2	4	3	1	1	0	0	3	0	0	0	none	weapon_firearm,role_guard,deck_guard,ai_stabilize		defensive_turn_to_open_player_window	5	4	1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
enemy_firearm_break_bayonet	枪托破势	posture_break	firearm	firearm	false	uncommon	break	posture_break	1	2	2	2	0	2	1	0	0	1	0	on_hit	weapon_firearm,role_break,deck_posture_break,ai_counterplay		close_range_break_tool_not_sniper_lock	5	8	-3	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-3 due to role identity.
enemy_firearm_suppression_order	压制号令	special	firearm	firearm	false	special	firearm_pressure	special	3	4	3	2	1	1	2	1	0	0	0	none	weapon_firearm,role_firearm_pressure,deck_special,ai_setup		team_pressure_with_readable_gaps	7	8	-1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
footwork_circle_step	绕步	movement	footwork	none	false	common	control	movement	1	3	2	0	1	0	0	1	1	0	0	always	weapon_footwork,role_movement,deck_movement,ai_angle		circle_for_distance_control	3	0	3	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=3 due to role identity.
footwork_reverse_slide	反滑退位	movement	footwork	none	false	common	retreat	movement	1	3	2	0	1	0	0	1	-1	0	0	always	weapon_footwork,role_retreat,deck_movement,ai_evade		retreat_without_lightness_gate	3	0	3	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=3 due to role identity.
footwork_evade_cut	闪步回削	attack	footwork	none	false	uncommon	counter	attack	1	2	1	1	1	1	2	0	1	0	0	on_hit	weapon_footwork,role_counter,deck_attack,ai_evade	combo_bridge	evade_then_chip_damage	6	4	2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
footwork_tempo_steal	夺拍	tempo	footwork	none	false	uncommon	tempo	tempo	1	3	2	1	2	0	1	0	0	0	0	on_hit	weapon_footwork,role_tempo,deck_tempo,ai_steal		tempo_control_in_mobile_style	5	4	1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
footwork_low_break	低位扫势	posture_break	footwork	none	false	uncommon	break	posture_break	1	2	1	1	0	1	1	0	0	0	0	on_hit	weapon_footwork,role_break,deck_posture_break,ai_trip		light_break_with_position_gain	3	4	-1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
footwork_guard_drift	游身护势	guard	footwork	none	false	common	guard	guard	1	3	2	1	1	0	0	2	1	0	0	always	weapon_footwork,role_guard,deck_guard,ai_evade		guard_while_repositioning	4	4	0	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
footwork_special_flow	流转身法	special	footwork	none	false	special	combo_bridge	special	1	3	2	2	1	1	1	1	1	0	0	always	weapon_footwork,role_combo_bridge,deck_special,ai_flow	combo_bridge	mobile_special_with_clear_counterplay	6	8	-2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
official_basic_cut	军门正斩	attack	official	official	false	common	exam_fundamental	attack	1	2	1	1	1	0	2	0	0	0	0	on_hit	weapon_official,role_fundamental,deck_attack,ai_standard		balanced_official_attack	4	4	0	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
official_guard_frame	军门架手	guard	official	official	false	common	guard	guard	1	3	2	1	1	0	0	3	0	0	0	none	weapon_official,role_fundamental,deck_guard,ai_standard		balanced_official_guard	5	4	1	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
official_step_set	整步定势	movement	official	official	false	common	approach	movement	1	3	2	1	1	0	0	1	1	0	0	always	weapon_official,role_fundamental,deck_movement,ai_standard		disciplined_approach_tool	3	4	-1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
official_break_drill	破势教式	posture_break	official	official	false	uncommon	break	posture_break	1	2	1	2	0	2	1	0	0	0	0	on_hit	weapon_official,role_fundamental,deck_posture_break,ai_drill		fundamental_break_check	5	8	-3	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-3 due to role identity.
exam_fundamental_probe	科试探手	tempo	official	official	false	common	exam_fundamental	tempo	1	3	2	0	2	0	0	1	0	0	0	none	weapon_official,role_fundamental,deck_tempo,ai_test		tests_basic_resource_control	5	0	5	data_ready	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=5 due to role identity.
exam_chain_form	连式考核	combo	official	official	false	uncommon	combo_bridge	combo	1	2	1	1	1	1	1	1	0	0	0	on_hit	weapon_official,role_fundamental,deck_combo,ai_test	combo_bridge	structured_combo_not_berserk_style	6	4	2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
official_counter_ritual	定式反制	guard	official	official	false	uncommon	counter	guard	1	2	1	2	0	1	1	3	0	0	0	on_hit	weapon_official,role_counter,deck_guard,ai_discipline		counter_based_on_form	6	8	-2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
official_punish_form	失式惩戒	combo	official	official	false	rare	punish	combo	1	2	1	2	0	2	3	0	0	0	0	on_hit	weapon_official,role_punish,deck_combo,ai_discipline	combo_finisher	punish_card_for_exam_and_officer	7	8	-1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
official_standard_special	军门总式	special	official	official	false	special	exam_fundamental	special	1	3	2	2	1	1	1	2	0	0	0	none	weapon_official,role_fundamental,deck_special,ai_discipline		balanced_special_for_exam_context	7	8	-1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
boss_phase_pressure	阶段压制	special	boss	boss_only	false	boss	boss_pressure	special	1	3	2	2	1	2	3	2	0	0	0	none	weapon_boss,role_boss_pressure,deck_special,ai_phase_pressure		boss_only readable pressure opener	11	8	3	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=3 due to role identity.
boss_phase_counter	阶段反制	guard	boss	boss_only	false	boss	counter	guard	1	3	2	2	0	2	2	4	0	0	0	on_hit	weapon_boss,role_boss_pressure,deck_guard,ai_boss_counter		boss_only counter window card	10	8	2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
boss_phase_break	阶段破势	posture_break	boss	boss_only	false	boss	break	posture_break	1	3	2	3	0	3	2	0	0	1	0	on_hit	weapon_boss,role_boss_pressure,deck_posture_break,ai_boss_break		boss_only break with push to reset space	8	12	-4	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-4 due to role identity.
boss_tempo_surge	阶段抢拍	tempo	boss	boss_only	false	boss	boss_pressure	tempo	1	3	2	2	2	1	1	1	0	0	0	none	weapon_boss,role_boss_pressure,deck_tempo,ai_boss_tempo		boss_only tempo surge with clear tell	8	8	0	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
boss_forward_step	阶段迫近	movement	boss	boss_only	false	boss	approach	movement	1	3	2	1	1	0	1	1	1	0	0	always	weapon_boss,role_boss_pressure,deck_movement,ai_boss_step		boss_only approach not teleport	4	4	0	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
boss_guard_wall	阶段固守	guard	boss	boss_only	false	boss	guard	guard	1	3	2	1	1	0	0	4	0	0	0	none	weapon_boss,role_boss_pressure,deck_guard,ai_boss_guard		boss_only guard reset turn	6	4	2	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
boss_punish_slice	阶段惩击	combo	boss	boss_only	false	boss	punish	combo	1	3	2	3	0	2	4	0	0	0	0	on_hit	weapon_boss,role_boss_pressure,deck_combo,ai_boss_punish	combo_finisher	boss_only punish when player overextends	8	12	-4	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-4 due to role identity.
boss_burst_finish	阶段终击	combo	boss	boss_only	false	boss	finisher	combo	2	4	3	4	0	2	5	0	0	1	0	on_hit	weapon_boss,role_boss_pressure,deck_combo,ai_boss_finish	combo_finisher	boss_only finisher but still reactable	9	16	-7	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39 budget_delta=-7 due to role identity.
boss_range_check	阶段控距	attack	boss	boss_only	false	boss	control	attack	2	4	3	2	0	2	3	0	0	1	0	on_hit	weapon_boss,role_boss_pressure,deck_attack,ai_boss_range		boss_only range check without lockout	7	8	-1	design_only	docs/COMBAT_CARD_GRAMMAR_V1.md	derived_for_v0_4a_deck_skeleton_coverage=39
