order	id	title	scene	text	dialogue_json	combat_json	choices_json
102	ch2_beach_tracks	滩涂脚印	潮线外有脚印。整齐。回程消失。	"脚印在潮线外。

排得很齐。

没有回头。"	[]	"{""enabled"":false}"	"[{""label"":""跟踪脚印"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""脚印走向芦苇。\n没有拖痕。""},{""label"":""记录上报"",""preview"":""军功推进。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""你记下位置。\n墨还没干。""},{""label"":""抹去痕迹"",""preview"":""清望增加。"",""effects"":{""clean_reputation"":1},""combat"":null,""result"":""你踢散脚印。\n潮水又补上。""}]"
103	ch2_reed_ambush_battle	芦苇伏击	芦苇静。枪尖先亮。人随后出。	"芦苇没有风。

枪尖先亮。

人才出来。"	[]	"{""enabled"":true,""encounter_id"":""enc_ch2_reed_ambush"",""battle_id"":""chapter2_reed_ambush"",""button"":""迎战"",""override_player_profile"":true}"	"[{""label"":""迎战"",""preview"":""胜利后继续追查芦苇伏击。"",""effects"":{},""combat"":{""enabled"":true,""encounter_id"":""enc_ch2_reed_ambush"",""battle_id"":""chapter2_reed_ambush"",""override_player_profile"":true},""result"":""枪尖折进沙里。\n潮声又回来了。""}]"
104	ch2_reed_ambush_aftermath	芦苇伏击：战后	尸体整齐。衣甲干净。靴底无盐。	"人倒得很整齐。

衣甲很干净。

靴底没有盐。"	[]	"{""enabled"":false}"	"[{""label"":""斩首报功"",""preview"":""军功入册。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""首级装袋。\n你没有翻靴底。""},{""label"":""搜身细查"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":2},""combat"":null,""result"":""靴缝有泥。\n不是海泥。""},{""label"":""就地掩埋"",""preview"":""清望增加。"",""effects"":{""clean_reputation"":1},""combat"":null,""result"":""沙盖住脸。\n潮又露出一点。""}]"
105	ch2_silent_village	无声渔村	村子有人。没有烟。门半开。	"村子有人。

没有烟。

门半开着。"	[]	"{""enabled"":false}"	"[{""label"":""逐户查看"",""preview"":""清望增加。"",""effects"":{""clean_reputation"":1},""combat"":null,""result"":""锅是热的。\n人不在。""},{""label"":""搜查物资"",""preview"":""军功推进。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""粮被动过。\n刀不见了。""},{""label"":""记录异常"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""你写下异常。\n纸边有潮印。""}]"
106	ch2_night_signal_fire	夜火信号	夜里海上有火。三灭一亮。	"夜里有火。

三灭一亮。

不在岸上。"	[]	"{""enabled"":false}"	"[{""label"":""靠近查看"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":2},""combat"":null,""result"":""火在船上。\n船不随潮。""},{""label"":""远距记录"",""preview"":""军功推进。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""你记下节律。\n很规整。""},{""label"":""忽略继续"",""preview"":""风险降低。"",""effects"":{},""combat"":null,""result"":""你转开目光。\n火还在。""}]"
201	ch3_firearm_marking	明制火器刻印	铁件擦净。刻印清晰。火门磨得很亮。	"铁件擦得很净。

刻印很清。

火门磨得很亮。"	[]	"{""enabled"":false}"	"[{""label"":""上交登记"",""preview"":""军功推进。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""你封好编号。\n手很稳。""},{""label"":""私下比对"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""刻印对得上。\n你没有说。""},{""label"":""问师父"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""师父没有看你。\n他只看火门。""}]"
202	ch3_sealed_crate	封漆木箱	木箱半开。火漆未裂。封印很新。	"箱子半开。

火漆还新。

封印没有裂。"	[]	"{""enabled"":false}"	"[{""label"":""原封上交"",""preview"":""军功入册。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""箱子被收走。\n收得很快。""},{""label"":""暗中拓印"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":2},""combat"":null,""result"":""你拓下一角。\n纸很薄。""},{""label"":""当场拆封"",""preview"":""清望增加。"",""effects"":{""clean_reputation"":1},""combat"":null,""result"":""封漆断开。\n没人出声。""}]"
203	ch3_escort_silence	押运无声	押运队整齐。脚步同拍。无人说话。	"队形很齐。

步子同拍。

没人说话。"	[]	"{""enabled"":false}"	"[{""label"":""跟队观察"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""脚步没有乱。\n像练过。""},{""label"":""截停查验"",""preview"":""军功推进。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""他们停下。\n目光没有动。""},{""label"":""放行跟踪"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""你压低距离。\n队形没变。""}]"
204	ch3_escort_clash_battle	押运冲突	火门先响。人后动。阵型未散。	"火门先响。

人后动。

阵型没有散。"	[]	"{""enabled"":true,""encounter_id"":""enc_ch3_escort_clash"",""battle_id"":""chapter3_escort_clash"",""button"":""迎战"",""override_player_profile"":true}"	"[{""label"":""迎战"",""preview"":""胜利后继续查验押运队。"",""effects"":{},""combat"":{""enabled"":true,""encounter_id"":""enc_ch3_escort_clash"",""battle_id"":""chapter3_escort_clash"",""override_player_profile"":true},""result"":""火门沉下去。\n队形终于散了。""}]"
205	ch3_escort_aftermath	押运之后	倒下的人整齐。火器收好。像交接。	"人倒得很齐。

火器收得很快。

像在交接。"	[]	"{""enabled"":false}"	"[{""label"":""收缴报功"",""preview"":""军功入册。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""你清点火器。\n数目对得上。""},{""label"":""逐件查验"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":2},""combat"":null,""result"":""编号连续。\n像同一批。""},{""label"":""就地封存"",""preview"":""清望增加。"",""effects"":{""clean_reputation"":1},""combat"":null,""result"":""你封好箱口。\n没人反对。""}]"
206	ch3_burned_storehouse	焦黑仓屋	仓屋烧过。墙还温。铁件未毁。	"墙是黑的。

还在温。

铁没有化。"	[]	"{""enabled"":false}"	"[{""label"":""清点残物"",""preview"":""军功推进。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""你记下残件。\n数目不乱。""},{""label"":""搜寻痕迹"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""火是从内起的。\n不是外烧。""},{""label"":""安抚百姓"",""preview"":""清望增加。"",""effects"":{""clean_reputation"":1},""combat"":null,""result"":""人慢慢出来。\n没人敢说。""}]"
207	ch3_official_notice	军门告示	告示新贴。字很整。落款很快。	"告示很新。

字很整。

落款很快。"	[]	"{""enabled"":false}"	"[{""label"":""按令执行"",""preview"":""军功推进。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""你收起告示。\n没有停。""},{""label"":""对照实情"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""字对不上事。\n你没有改。""},{""label"":""当众宣读"",""preview"":""清望增加。"",""effects"":{""clean_reputation"":1},""combat"":null,""result"":""人听完散开。\n没人提问。""}]"
301	ch4_tide_reveals_marks	潮下旧痕	潮退以后，礁石露出旧痕。	"潮退下去。

礁石露出来。

旧痕没有被海水磨平。"	[]	"{""enabled"":false}"	"[{""label"":""记下旧痕"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""你记下痕迹。\n潮水还会回来。""}]"
302	ch4_old_anchor_chain	旧锚铁链	铁链半埋在泥里，锈色很深。	"铁链在泥里。

锈很深。

断口却很新。"	[]	"{""enabled"":false}"	"[{""label"":""查验断口"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""断口很新。\n不像海水咬断。""}]"
303	ch4_master_hesitation	师父迟疑	师父看见断链，手停了一下。	"师父没有说话。

他的手停了一下。

潮声盖过去。"	[]	"{""enabled"":false}"	"[{""label"":""看向师父"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""师父避开你的眼。\n他知道这条链。""}]"
304	ch4_tide_bandits_battle	潮滩截杀	潮滩上有人截路，刀在水里发亮。	"潮水退得很慢。

人来得很快。

枪锋先到。"	[]	"{""enabled"":true,""encounter_id"":""enc_ch4_tide_bandits"",""battle_id"":""chapter4_tide_bandits"",""button"":""迎战"",""override_player_profile"":true}"	"[{""label"":""迎战"",""preview"":""胜利后查看潮滩遗留。"",""effects"":{},""combat"":{""enabled"":true,""encounter_id"":""enc_ch4_tide_bandits"",""battle_id"":""chapter4_tide_bandits"",""override_player_profile"":true},""result"":""刀落进浅水。\n泥色慢慢分开。""}]"
305	ch4_tide_aftermath	潮滩之后	尸身伏在浅水里，泥色分成两层。	"浅水盖住尸身。

泥色分成两层。

有人来过这里。"	[]	"{""enabled"":false}"	"[{""label"":""翻查尸身"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""泥里有旧印。\n不是海寇留下的。""}]"
306	ch4_hidden_document	夹层文书	湿木夹层里，有一张没有烂透的文书。	"木板撬开。

纸没有烂透。

名字还在。"	[]	"{""enabled"":false}"	"[{""label"":""收起文书"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":2},""combat"":null,""result"":""纸很湿。\n名字还没有化开。""}]"
307	ch4_master_silence	师父沉默	师父把文书放回去，只说继续走。	"师父把文书放回去。

他只说继续走。

风停了一下。"	[]	"{""enabled"":false}"	"[{""label"":""继续追查"",""preview"":""军功推进。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""师父没有拦你。\n他只是沉默。""}]"
401	boss_ext_burning_ship_sighting	火船远影	远处有船在烧，却没有人喊。	"远处有船在烧。

火很亮。

没有人喊。"	[]	"{""enabled"":false}"	"[{""label"":""靠近破船"",""preview"":""军功推进。"",""effects"":{""military_merit"":1},""combat"":null,""result"":""火光照出船腹。\n箱影一排排。""}]"
402	boss_ext_hold_full_of_crates	满舱木箱	破船舱里全是木箱，箱上有新封。	"船舱很满。

木箱很新。

封泥还没有裂。"	[]	"{""enabled"":false}"	"[{""label"":""查看封泥"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""封泥很新。\n官印很旧。""}]"
403	boss_ext_master_freeze_arrow	师父停箭	暗箭来时，师父先一步停住。	"箭声很轻。

师父先停住。

他知道箭从哪里来。"	[]	"{""enabled"":false}"	"[{""label"":""追问师父"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":1},""combat"":null,""result"":""师父说：先活下来。\n他没有解释箭。""}]"
404	boss_ext_wakou_leader_battle	破船首领	倭首站在箱前，像在等一个旧人。	"倭首站在箱前。

他像在等人。

等的不是你。"	[]	"{""enabled"":true,""encounter_id"":""enc_boss_ext_wakou_leader"",""battle_id"":""boss_ext_wakou_leader"",""button"":""决战"",""override_player_profile"":true}"	"[{""label"":""决战"",""preview"":""胜利后查看破船火器箱。"",""effects"":{},""combat"":{""enabled"":true,""encounter_id"":""enc_boss_ext_wakou_leader"",""battle_id"":""boss_ext_wakou_leader"",""override_player_profile"":true},""result"":""首领倒下。\n他最后仍看着岸上。""}]"
405	boss_ext_aftermath_choice	破船之后	火器箱还在，案子的门也还开着。	"首领倒下。

火器箱还在。

案子的门也还开着。"	[]	"{""enabled"":false}"	"[{""label"":""据实上报"",""preview"":""清望增加。"",""effects"":{""clean_reputation"":2},""combat"":null,""result"":""你把箱号写全。\n纸上没有留白。""},{""label"":""藏下一份证据"",""preview"":""旧案线索增加。"",""effects"":{""case_clues"":2},""combat"":null,""result"":""你抽出一页。\n潮声替你遮住。""},{""label"":""先报首级"",""preview"":""军功推进。"",""effects"":{""military_merit"":2},""combat"":null,""result"":""首级入册。\n箱子暂时没有名字。""}]"
